name,from,bio
"Barbara Balfour","Professor, York University, Toronto, Canada","Barbara
Balfour, a Toronto-based artist, is Professor and Graduate Program Director,
MFA/PhD Program in Visual Arts, York University. Her research involves print
and text-based art practices. Other activities include artist residencies,
curatorial projects, and critical writing. Her book The Inkiest Black is a
textual/visual response to Infinite Jest."
"Antonio Aguilar-Vazquez","Ph.D. Student, University of Glasgow","Antonio
Aguilar-Vazquez has a BA (Honors) from the National Autonomous University of
Mexico and an MSc in Literature and  Modernity from the University of
Edinburgh. He is a present PhD candidate at the University of Glasgow and a
member of the David Foster Wallace Research Group."
"Corrie Baldauf","Assistant Professor of Art, Eastern Michigan
University","Corrie Baldauf knows that humor is the best form of intelligence.
She believes that admitting what you don’t know is the best way to learn more.
Baldauf is an Assistant Professor of Art at Eastern Michigan University and
Secretary of the International David Foster Wallace Society."
"Ross Barnes","Independent Scholar, N/A","Ross Barnes lives in Galesburg,
Illinois."
"Andrea Berns","Master's Student, Illinois State University","Andrea Berns is a
recent graduate of Illinois State University, having completed her Master's
degree in English Studies: Creative Writing - Fiction in May 2017. After
working as a graduate assistant in the Publications Unit and assistant teaching
an introductory creative writing course, she plans to pursue a career in the
publishing industry."
"Martin Brick","Associate Professor, Ohio Dominican University","Martin Brick
is Associate Professor of English at Ohio Dominican University. His primary
research agenda explores the intersection of religion and modernist and
postmodern literature. He has published on James Joyce, Virginia Woolf, D.H.
Lawrence, David Foster Wallace, and Mark Z. Danielewski in journals such as
James Joyce Quarterly and Christianity and Literature."
"Matt Bucher","Independent Scholar","Matt Bucher is the President of the
International David Foster Wallace Society. Since 2002 he has administered the
wallace-l listserv and is the co-host of The Great Concavity podcast. His work
has appeared in Electric Literature, The Dublin Review of Books, The Chicago
Review of Books, Publishers Weekly, and elsewhere. He lives in Austin, Texas."
"Jeffrey Calzaloia","Creative Writer","Jeffrey Calzaloia is an author whose
ambitious work may not achieve commercial success but whose investment in
producing high-quality literary fiction remains strong. Inspired by novelists
such as John Crowley, Toni Morrison, Gene Wolfe, Cormac McCarthy, Junot Díaz,
Samuel R. Delany, Marcel Proust, and (of course) David Foster Wallace, as well
as poets such as Gerard Manley Hopkins, Wallace Stevens, Leonie Adams, and John
Brooks Wheelwright, Mr. Calzaloia lives in Massachusetts."
"Jane L. Carman","Creative Writer, Festival of Language / Lit Fest Press","Jane
L. Carman, author of Tangled in Motion (JEF Books 2015), is the founder of the
DFW Conference, the reading series Festival of Language and a reading
eXperiment, and Lit Fest Press. Carman holds a PhD in English Studies from ISU.
She is currently writing manuscripts on Alzheimer’s and suicide."
"Grace Chipperfield","Ph.D. Student, Flinders University of South
Australia","Grace Chipperfield is a PhD candidate in Creative Writing at
Flinders University in South Australia. She is researching what it is to be an
American citizen and how this relates to adolescence and adulthood in the works
of David Foster Wallace. She also tutors in English Literature at Flinders
University."
"Peter Christensen","Independent Scholar, NA","Peter Christensen is the manager
of technology commercialization at DOE’s Pacific Northwest National Laboratory.
While not an academic, he is an avid student and reader of David Foster
Wallace’s work. He has a B.S.from the University of Minnesota and a J.D. from
the University of New Hampshire School of Law."
"Vernon Cisney","Assistant Professor, Gettysburg College","Vernon W. Cisney is
a visiting assistant professor of philosophy at Gettysburg College. He is the
author of Derrida’s Voice and Phenomenon: An Edinburgh Philosophical Guide
(Edinburgh, 2014); as well as Deleuze and Derrida: Difference and the Power of
the Negative (Edinburgh, 2018). He is also the co-editor of Biopower: Foucault
and Beyond (University of Chicago Press, 2015); The Way of Nature and the Way
of Grace: Philosophical Footholds on Terrence Malick’s Tree of Life
(Northwestern, 2016); and Between Foucault and Derrida (Edinburgh, 2016)."
